identity,role,category,category_index,direct_identity,current_behavior,target_disposition,deterministic_knowledge_semantics,representation,byte_owner,timing_class,action_trigger,preflight_postflight_placement,freshness_authority,ambiguity_policy,omission_policy,raw_preservation_rule,decision_eligibility,model_visibility,migration_work,status,receipt
graph_validity,acq,ACQ,1,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
structural_depth,acq,ACQ,2,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
resolution_honesty,acq,ACQ,3,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
type_intelligence,acq,ACQ,4,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
lexical_FTS5,acq,ACQ,5,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
body_retrieval,acq,ACQ,6,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
semantic_embedder,acq,ACQ,7,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
LSP,acq,ACQ,8,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
freshness_basis,acq,ACQ,9,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
repo_scope,acq,ACQ,10,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
cochange_history,acq,ACQ,11,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
determinism,acq,ACQ,12,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_BRIEF_MINIMAL,eligibility,CAP,1,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_BRIEF_NATIVE,mediator,CAP,2,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_CERT_DELIVERY,byte_owner,CAP,3,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_CHANGE_SURFACE,byte_owner,CAP,4,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_COMPLETION_CERT,mediator,CAP,5,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_CONTENT_LEG,mediator,CAP,6,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_CONTRACT_BILATERAL,mediator,CAP,7,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_CONTRACT_MODE,mediator,CAP,8,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_CONTRACT_NATIVE,mediator,CAP,9,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_D7_RELATEDNESS,eligibility,CAP,10,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_EDIT_CHECK,byte_owner,CAP,11,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_EDIT_OVERLAY,eligibility,CAP,12,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_EVIDENCE_NATIVE,mediator,CAP,13,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_GATEWAY,mediator,CAP,14,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_GATEWAY_EDIT_BRIDGES,mediator,CAP,15,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_GATEWAY_NATIVE,mediator,CAP,16,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_GLOBAL_ARBITER,mediator,CAP,17,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_HYPOTHESIS,byte_owner,CAP,18,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_INSEAM_METRICS,mediator,CAP,19,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
