language,registry_identity,lexical_policy,syntax_policy,symbol_policy,build_policy,terminal_policy
Bash,bash,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
C,c,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
C++,cpp,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
C#,csharp,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
CSS,css,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
CUE,cue,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Elixir,elixir,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Elm,elm,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Go,go,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Groovy,groovy,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
HCL,hcl,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
HTML,html,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Java,java,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
JavaScript,javascript,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Kotlin,kotlin,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Lua,lua,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Markdown,markdown,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
OCaml,ocaml,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
PHP,php,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Protobuf,protobuf,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Python,python,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Ruby,ruby,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Rust,rust,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Scala,scala,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
SQL,sql,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Svelte,svelte,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
Swift,swift,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
TOML,toml,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
TypeScript,typescript,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
YAML,yaml,"certify exact","certify parser/toolchain result","certify or remove operation","certify or mark not_applicable","Every operation is exact, sound_overapprox, execution_specific, not_applicable, or removed"
