category,category_index,identity,role,direct_identity,source
ACQ,1,graph_validity,acq,false,gt_finalstand/role_inventory_source.json
ACQ,2,structural_depth,acq,false,gt_finalstand/role_inventory_source.json
ACQ,3,resolution_honesty,acq,false,gt_finalstand/role_inventory_source.json
ACQ,4,type_intelligence,acq,false,gt_finalstand/role_inventory_source.json
ACQ,5,lexical_FTS5,acq,false,gt_finalstand/role_inventory_source.json
ACQ,6,body_retrieval,acq,false,gt_finalstand/role_inventory_source.json
ACQ,7,semantic_embedder,acq,false,gt_finalstand/role_inventory_source.json
ACQ,8,LSP,acq,false,gt_finalstand/role_inventory_source.json
ACQ,9,freshness_basis,acq,false,gt_finalstand/role_inventory_source.json
ACQ,10,repo_scope,acq,false,gt_finalstand/role_inventory_source.json
ACQ,11,cochange_history,acq,false,gt_finalstand/role_inventory_source.json
ACQ,12,determinism,acq,false,gt_finalstand/role_inventory_source.json
CAP,1,GT_BRIEF_MINIMAL,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,2,GT_BRIEF_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,3,GT_CERT_DELIVERY,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,4,GT_CHANGE_SURFACE,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,5,GT_COMPLETION_CERT,mediator,false,gt_finalstand/role_inventory_source.json
CAP,6,GT_CONTENT_LEG,mediator,false,gt_finalstand/role_inventory_source.json
CAP,7,GT_CONTRACT_BILATERAL,mediator,false,gt_finalstand/role_inventory_source.json
CAP,8,GT_CONTRACT_MODE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,9,GT_CONTRACT_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,10,GT_D7_RELATEDNESS,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,11,GT_EDIT_CHECK,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,12,GT_EDIT_OVERLAY,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,13,GT_EVIDENCE_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,14,GT_GATEWAY,mediator,false,gt_finalstand/role_inventory_source.json
CAP,15,GT_GATEWAY_EDIT_BRIDGES,mediator,false,gt_finalstand/role_inventory_source.json
CAP,16,GT_GATEWAY_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,17,GT_GLOBAL_ARBITER,mediator,false,gt_finalstand/role_inventory_source.json
CAP,18,GT_HYPOTHESIS,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,19,GT_INSEAM_METRICS,mediator,false,gt_finalstand/role_inventory_source.json
CAP,20,GT_L6_FRESH,mediator,false,gt_finalstand/role_inventory_source.json
CAP,21,GT_LANE_ENVELOPE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,22,GT_LOC_RESLOT,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,23,GT_NUDGE_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,24,GT_OBLIGATION_FRESHNESS,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,25,GT_PATCH_DELTA,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,26,GT_POST_SEARCH,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,27,GT_POST_SEARCH_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,28,GT_REGISTRY_ENFORCE,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,29,GT_SCOPE_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,30,GT_SEM_BODY,mediator,false,gt_finalstand/role_inventory_source.json
CAP,31,GT_SS_ACK_FORM,mediator,false,gt_finalstand/role_inventory_source.json
CAP,32,GT_SS_ACK_METRICS,mediator,false,gt_finalstand/role_inventory_source.json
CAP,33,GT_SS_ARBITER_V2,mediator,false,gt_finalstand/role_inventory_source.json
CAP,34,GT_SS_COHERENCE_V2,mediator,false,gt_finalstand/role_inventory_source.json
CAP,35,GT_SS_DEDUP2,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,36,GT_SS_ELIGIBILITY,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,37,GT_SS_EXEC_TRUTH,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,38,GT_SS_LATE_DROP,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,39,GT_SS_NOVELTY,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,40,GT_SS_PROVENANCE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,41,GT_SS_RECOVERY_V2,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,42,GT_SS_SHADOW,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,43,GT_SS_SUBMIT_RED,byte_owner,true,gt_finalstand/role_inventory_source.json
CAP,44,GT_STEER_NATIVE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,45,GT_VERIFICATION_PLAN,mediator,false,gt_finalstand/role_inventory_source.json
CAP,46,GT_VERIFY_EXECUTE,mediator,false,gt_finalstand/role_inventory_source.json
CAP,47,GT_XSESSION_MEMORY,eligibility,false,gt_finalstand/role_inventory_source.json
CAP,48,GT_XSESSION_RANKUP,mediator,false,gt_finalstand/role_inventory_source.json
FACT,1,caller_contract,fact,true,gt_finalstand/role_inventory_source.json
FACT,2,cochange_prior,fact,false,gt_finalstand/role_inventory_source.json
FACT,3,covering_red,fact,true,gt_finalstand/role_inventory_source.json
FACT,4,def_partition,fact,true,gt_finalstand/role_inventory_source.json
FACT,5,localization,fact,true,gt_finalstand/role_inventory_source.json
FACT,6,newfile_precedent,fact,true,gt_finalstand/role_inventory_source.json
FACT,7,obligations,fact,true,gt_finalstand/role_inventory_source.json
FACT,8,recovery,fact,true,gt_finalstand/role_inventory_source.json
FACT,9,signature_delta,fact,true,gt_finalstand/role_inventory_source.json
FACT,10,submit_refusal,fact,true,gt_finalstand/role_inventory_source.json
FACT,11,syntax_result,fact,true,gt_finalstand/role_inventory_source.json
PERF,1,gold_in_L1_top_k,perf,false,gt_finalstand/role_inventory_source.json
PERF,2,gold_rank,perf,false,gt_finalstand/role_inventory_source.json
PERF,3,files_to_gold_view,perf,false,gt_finalstand/role_inventory_source.json
PERF,4,steps_to_gold_view,perf,false,gt_finalstand/role_inventory_source.json
PERF,5,files_to_gold_edit,perf,false,gt_finalstand/role_inventory_source.json
PERF,6,steps_to_gold_edit,perf,false,gt_finalstand/role_inventory_source.json
PERF,7,localization_precision,perf,false,gt_finalstand/role_inventory_source.json
PERF,8,localization_recall,perf,false,gt_finalstand/role_inventory_source.json
PERF,9,false_file_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,10,exploration_ratio,perf,false,gt_finalstand/role_inventory_source.json
PERF,11,gold_view_precision,perf,false,gt_finalstand/role_inventory_source.json
PERF,12,wasted_views,perf,false,gt_finalstand/role_inventory_source.json
PERF,13,navigation_directness,perf,false,gt_finalstand/role_inventory_source.json
PERF,14,self_localization_needed,perf,false,gt_finalstand/role_inventory_source.json
PERF,15,edit_attempts_per_gold,perf,false,gt_finalstand/role_inventory_source.json
PERF,16,rewrite_count,perf,false,gt_finalstand/role_inventory_source.json
PERF,17,compile_failures_after_edit,perf,false,gt_finalstand/role_inventory_source.json
PERF,18,edit_revert_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,19,first_edit_correctness,perf,false,gt_finalstand/role_inventory_source.json
PERF,20,patch_size,perf,false,gt_finalstand/role_inventory_source.json
PERF,21,patch_files,perf,false,gt_finalstand/role_inventory_source.json
PERF,22,contract_compliance_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,23,signature_changes_warned,perf,false,gt_finalstand/role_inventory_source.json
PERF,24,p2p_regression_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,25,caller_breakage_count,perf,false,gt_finalstand/role_inventory_source.json
PERF,26,scope_coverage,perf,false,gt_finalstand/role_inventory_source.json
PERF,27,scope_excess,perf,false,gt_finalstand/role_inventory_source.json
PERF,28,multi_file_discovery,perf,false,gt_finalstand/role_inventory_source.json
PERF,29,scope_gap_files,perf,false,gt_finalstand/role_inventory_source.json
PERF,30,degenerate_loop_count,perf,false,gt_finalstand/role_inventory_source.json
PERF,31,steps_in_loops,perf,false,gt_finalstand/role_inventory_source.json
PERF,32,nudge_recovery_steps,perf,false,gt_finalstand/role_inventory_source.json
PERF,33,coherence_collapse_count,perf,false,gt_finalstand/role_inventory_source.json
PERF,34,stuck_duration,perf,false,gt_finalstand/role_inventory_source.json
PERF,35,test_before_submit,perf,false,gt_finalstand/role_inventory_source.json
PERF,36,test_runs_total,perf,false,gt_finalstand/role_inventory_source.json
PERF,37,test_edit_ratio,perf,false,gt_finalstand/role_inventory_source.json
PERF,38,obligation_test_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,39,verify_gap,perf,false,gt_finalstand/role_inventory_source.json
PERF,40,impact_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,41,per_tag_impact,perf,false,gt_finalstand/role_inventory_source.json
PERF,42,gt_tokens_injected,perf,false,gt_finalstand/role_inventory_source.json
PERF,43,gt_tokens_per_pivot,perf,false,gt_finalstand/role_inventory_source.json
PERF,44,nudge_compliance_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,45,L1_followed_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,46,contract_consulted_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,47,obligation_completion_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,48,nudge_action_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,49,scope_chain_followed,perf,false,gt_finalstand/role_inventory_source.json
PERF,50,total_steps,perf,false,gt_finalstand/role_inventory_source.json
PERF,51,total_tokens_in,perf,false,gt_finalstand/role_inventory_source.json
PERF,52,total_tokens_out,perf,false,gt_finalstand/role_inventory_source.json
PERF,53,total_cost_usd,perf,false,gt_finalstand/role_inventory_source.json
PERF,54,cache_hit_rate,perf,false,gt_finalstand/role_inventory_source.json
PERF,55,tokens_per_gold_edit,perf,false,gt_finalstand/role_inventory_source.json
PERF,56,cost_per_resolved,perf,false,gt_finalstand/role_inventory_source.json
PERF,57,gt_token_overhead,perf,false,gt_finalstand/role_inventory_source.json
PERF,58,wasted_token_rate,perf,false,gt_finalstand/role_inventory_source.json
